a_x, a_y, a_z, t
-0.0,-0.0,0.25,0.5363669395446777
-0.0,-0.0,0.25,0.5365486145019531
-0.0,-0.0,0.24,0.5403866767883301
-0.0,-0.0,0.25,0.5405685901641846
-0.0,-0.0,0.25,0.544471025466919
-0.0,-0.0,0.25,0.5446507930755615
-0.0,-0.0,0.25,0.5482177734375
-0.0,-0.0,0.25,0.5487594604492188
0.0,-0.0,0.25,0.5520589351654053
0.0,-0.0,0.25,0.5523655414581299
-0.0,-0.0,0.25,0.5562219619750977
-0.0,-0.0,0.25,0.5599524974822998
-0.0,-0.0,0.26,0.5602316856384277
-0.0,-0.0,0.24,0.5641708374023438
-0.0,-0.0,0.23,0.5646722316741943
0.01,-0.0,0.25,0.569011926651001
-0.0,-0.0,0.25,0.5693454742431641
-0.0,-0.0,0.25,0.5722358226776123
-0.0,-0.0,0.25,0.5725364685058594
-0.0,-0.0,0.25,0.5761964321136475
-0.0,-0.0,0.24,0.5763599872589111
-0.0,-0.0,0.25,0.5801401138305664
-0.0,-0.0,0.25,0.5803959369659424
-0.0,-0.0,0.25,0.5843296051025391
-0.0,-0.0,0.25,0.5846540927886963
-0.0,-0.0,0.25,0.587714672088623
-0.0,-0.0,0.25,0.5878901481628418
0.0,-0.0,0.25,0.5917723178863525
0.0,-0.0,0.25,0.5919156074523926
-0.0,-0.0,0.25,0.5959482192993164
-0.0,-0.0,0.25,0.5998616218566895
0.0,-0.0,0.25,0.6001312732696533
-0.0,-0.0,0.25,0.6038594245910645
-0.0,-0.0,0.26,0.6040480136871338
-0.0,-0.0,0.24,0.6078898906707764
-0.0,-0.0,0.25,0.6080300807952881
-0.0,-0.0,0.25,0.6124088764190674
-0.0,-0.0,0.25,0.6125569343566895
-0.0,-0.0,0.25,0.6166863441467285
0.0,-0.0,0.25,0.6169378757476807
-0.0,-0.0,0.25,0.6207005977630615
-0.0,-0.0,0.25,0.6208949089050293
-0.0,-0.0,0.25,0.6246414184570312
-0.0,-0.0,0.24,0.6248123645782471
-0.0,-0.0,0.25,0.6286849975585938
-0.0,-0.0,0.25,0.6288266181945801
-0.0,-0.0,0.25,0.6322128772735596
-0.0,-0.0,0.25,0.6362853050231934
-0.0,-0.0,0.25,0.6364507675170898
-0.0,-0.0,0.25,0.640324592590332
-0.0,-0.0,0.25,0.640467643737793
-0.0,-0.0,0.25,0.6443357467651367
-0.0,-0.0,0.25,0.6444797515869141
0.0,-0.0,0.25,0.6485543251037598
-0.0,-0.0,0.25,0.6487023830413818
-0.0,-0.0,0.25,0.6524441242218018
-0.0,-0.0,0.25,0.652594804763794
-0.0,-0.0,0.25,0.6565952301025391
0.0,-0.0,0.25,0.6567316055297852
-0.0,-0.0,0.25,0.6606831550598145
-0.0,-0.0,0.24,0.6609182357788086
-0.0,-0.0,0.25,0.6648199558258057
-0.01,-0.0,0.25,0.6655182838439941
-0.0,-0.0,0.25,0.6681842803955078
-0.01,-0.0,0.25,0.6684191226959229
-0.0,-0.0,0.25,0.6721236705780029
-0.0,-0.0,0.25,0.6759989261627197
-0.0,-0.0,0.25,0.6761476993560791
-0.0,-0.0,0.25,0.6800134181976318
-0.0,-0.0,0.25,0.6801731586456299
-0.0,-0.0,0.25,0.6840863227844238
-0.0,-0.0,0.25,0.6843938827514648
-0.0,-0.0,0.25,0.6881632804870605
-0.0,-0.0,0.25,0.6883070468902588
0.0,-0.0,0.25,0.6922299861907959
-0.0,-0.0,0.25,0.6926321983337402
-0.0,-0.0,0.25,0.6962063312530518
-0.0,-0.0,0.25,0.6963644027709961
-0.0,-0.0,0.25,0.7003211975097656
-0.0,-0.0,0.24,0.7005717754364014
-0.0,-0.0,0.25,0.7037079334259033
-0.0,-0.0,0.25,0.7038674354553223
-0.0,-0.0,0.26,0.7077088356018066
-0.0,-0.0,0.25,0.7120552062988281
-0.0,-0.0,0.25,0.712252140045166
-0.0,-0.0,0.25,0.7161335945129395
-0.0,-0.01,0.25,0.7162680625915527
-0.0,-0.0,0.25,0.720383882522583
-0.0,-0.0,0.25,0.720609188079834
-0.0,-0.0,0.25,0.7243492603302002
-0.0,-0.0,0.25,0.7245845794677734
-0.0,-0.0,0.25,0.728360652923584
-0.0,-0.0,0.25,0.7285885810852051
-0.0,-0.0,0.25,0.732358455657959
-0.0,-0.0,0.25,0.732494592666626
-0.0,-0.0,0.24,0.7367129325866699
-0.0,-0.0,0.25,0.7370316982269287
0.0,-0.0,0.24,0.7400872707366943
-0.01,-0.0,0.25,0.7403063774108887
-0.0,-0.0,0.25,0.7441186904907227
-0.0,-0.0,0.25,0.7481117248535156
-0.0,-0.0,0.25,0.7487432956695557
-0.0,-0.0,0.25,0.75201416015625
-0.0,-0.0,0.24,0.7522759437561035
-0.0,-0.0,0.25,0.7560276985168457
