a_x,a_y,a_z,t
-0.00201,-0.01366,0.24687,0.7481396198272705
-0.00073,-0.01159,0.24662,0.7508633136749268
-0.00104,-0.01226,0.24809,0.7511966228485107
-0.0014,-0.01141,0.24858,0.753779411315918
-0.01531,-0.01238,0.24681,0.7564172744750977
-0.00317,-0.01311,0.25004,0.7592542171478271
-0.00067,-0.01153,0.24845,0.761951208114624
-0.00183,-0.01244,0.24894,0.7647380828857422
-0.00134,-0.0111,0.24961,0.7651774883270264
-0.00152,-0.01263,0.24675,0.7679696083068848
-0.00061,-0.01202,0.24632,0.7705321311950684
-0.00201,-0.01251,0.24675,0.7731659412384033
-0.0014,-0.01104,0.24967,0.7757809162139893
-0.00262,-0.0119,0.25382,0.7762246131896973
-0.00299,-0.01311,0.24906,0.7789745330810547
-0.00189,-0.00909,0.2487,0.7817800045013428
-0.00256,-0.01098,0.25468,0.7843453884124756
-0.00122,-0.01049,0.24949,0.7870333194732666
-0.00012,-0.01171,0.24925,0.7874457836151123
-0.0014,-0.01165,0.24906,0.7903869152069092
-0.00104,-0.01177,0.24803,0.7930388450622559
-0.00073,-0.01074,0.24729,0.7956774234771729
-0.0003,-0.0136,0.24656,0.7982180118560791
-0.00195,-0.01098,0.25272,0.8010509014129639
-0.00342,-0.01196,0.25413,0.8013331890106201
0.00098,-0.01427,0.24845,0.8040695190429688
-0.00183,-0.01074,0.24772,0.8067264556884766
-0.0025,-0.01165,0.24931,0.8094618320465088
-0.00061,-0.01159,0.23522,0.8121271133422852
-0.00079,-0.01275,0.25132,0.8124861717224121
-0.00171,-0.01147,0.25193,0.815223217010498
-0.00305,-0.01183,0.24967,0.8176975250244141
-0.00049,-0.0111,0.24906,0.820497989654541
-0.0025,-0.01128,0.24687,0.8232171535491943
-0.00012,-0.01208,0.2487,0.8233613967895508
-0.0022,-0.01379,0.24839,0.826570987701416
-0.00098,-0.01208,0.24839,0.8294367790222168
-0.00018,-0.01092,0.2476,0.8321266174316406
-0.00299,-0.0119,0.24894,0.8349413871765137
-0.00152,-0.01214,0.24693,0.8377385139465332
-0.00397,-0.01373,0.25217,0.838024377822876
-0.00366,-0.01068,0.2454,0.8407127857208252
-0.00244,-0.01232,0.24912,0.8433969020843506
-0.0022,-0.01098,0.24656,0.8461105823516846
-0.00116,-0.0119,0.25034,0.8489134311676025
-0.00128,-0.0122,0.24778,0.8491983413696289
-0.00384,-0.01177,0.24577,0.8518781661987305
-0.0022,-0.01244,0.25132,0.8544924259185791
-0.00244,-0.01342,0.23448,0.8572754859924316
-0.0022,-0.01183,0.24601,0.8600213527679443
-0.00049,-0.01141,0.24949,0.8602759838104248
-0.00134,-0.0144,0.24931,0.8630707263946533
-0.00226,-0.01214,0.2487,0.8655877113342285
-0.00165,-0.01055,0.23717,0.8683462142944336
0.00085,-0.01208,0.24821,0.8709752559661865
-0.00049,-0.01208,0.24833,0.8711543083190918
-0.00232,-0.01104,0.24742,0.8740072250366211
-0.00287,-0.01165,0.25321,0.8766841888427734
-0.00171,-0.01281,0.2634,0.8794131278991699
-0.00195,-0.0133,0.24723,0.8821694850921631
-0.01562,-0.01135,0.25071,0.8851630687713623
-0.00189,-0.01165,0.24784,0.8853106498718262
-0.00268,-0.01232,0.24601,0.8880605697631836
-0.00274,-0.01275,0.24656,0.8907620906829834
-0.00012,-0.01318,0.24553,0.8934597969055176
-0.00433,-0.01153,0.24918,0.8963363170623779
-0.00195,-0.01281,0.25126,0.8965597152709961
0.0003,-0.01318,0.24687,0.8992321491241455
-0.00268,-0.01183,0.2487,0.9021255970001221
-0.00165,-0.01153,0.24845,0.9048113822937012
-0.00079,-0.01263,0.2501,0.9075002670288086
-0.00079,-0.01287,0.2479,0.907724142074585
-0.00256,-0.01342,0.24601,0.9105796813964844
-0.00152,-0.01299,0.24632,0.9132685661315918
-0.00238,-0.01165,0.2479,0.9160037040710449
-0.00268,-0.01074,0.24735,0.9186358451843262
-0.00226,-0.01281,0.25059,0.9214293956756592
-0.00189,-0.01293,0.24723,0.9217088222503662
-0.00061,-0.0122,0.24827,0.9243674278259277
-0.00098,-0.01122,0.24735,0.9270553588867188
-0.00146,-0.01098,0.24784,0.9303257465362549
-0.00067,-0.01238,0.24784,0.9331269264221191
-0.00165,-0.01165,0.24583,0.9334478378295898
-0.00037,-0.01232,0.23595,0.9361293315887451
-0.00134,-0.01196,0.24998,0.938807487487793
-0.00323,-0.01128,0.25144,0.9415998458862305
-0.00146,-0.01208,0.24986,0.9442541599273682
-0.00171,-0.01074,0.24699,0.9445104598999023
-0.00024,-0.01135,0.24845,0.947272777557373
-0.00091,-0.01165,0.26462,0.9499449729919434
-0.00274,-0.01482,0.24675,0.9527485370635986
-0.00085,-0.01141,0.24668,0.9553897380828857
-0.0011,-0.0122,0.24827,0.9580867290496826
-0.0014,-0.01251,0.24784,0.9584367275238037
-0.00183,-0.01232,0.24766,0.961219072341919
-0.00122,-0.01232,0.24595,0.9638082981109619
-0.00159,-0.0119,0.24796,0.9665794372558594
-0.00159,-0.0111,0.24778,0.9692573547363281
-0.00232,-0.01159,0.24955,0.9695830345153809
-0.0011,-0.01257,0.24876,0.9722311496734619
-0.00098,-0.01196,0.2454,0.975045919418335
-0.00183,-0.01061,0.25041,0.9777233600616455
-0.0011,-0.01159,0.25047,0.9803709983825684
-0.00134,-0.01122,0.24888,0.9806797504425049
-0.0011,-0.01183,0.24699,0.983457088470459
-0.00134,-0.01147,0.24583,0.9862680435180664
-0.00104,-0.01275,0.24931,0.9890773296356201
0.01342,-0.01232,0.24681,0.9918372631072998
-0.00134,-0.01232,0.24772,0.992253303527832
0.0,-0.0122,0.24876,0.9948415756225586
-0.00195,-0.01281,0.26382,0.9977166652679443
-0.00098,-0.01098,0.25114,1.000183343887329
-0.00238,-0.01415,0.25297,1.0030004978179932
-0.00165,-0.01226,0.24675,1.0057132244110107
-0.00189,-0.01251,0.24485,1.0060756206512451
-0.00091,-0.01165,0.24839,1.008540153503418
-0.00116,-0.01287,0.24766,1.011237382888794
-0.00055,-0.0122,0.24778,1.0140421390533447
-0.00159,-0.01208,0.24906,1.0168507099151611
-0.00104,-0.01214,0.24735,1.0171728134155273
-0.00397,-0.01251,0.24906,1.0200507640838623
-0.00342,-0.01135,0.25419,1.0226538181304932
-0.01543,-0.01251,0.249,1.0254745483398438
-0.00134,-0.01208,0.24894,1.0280747413635254
-0.00037,-0.01171,0.24681,1.0284004211425781
-0.00226,-0.01116,0.24876,1.0315518379211426
-0.0014,-0.01147,0.24443,1.0342049598693848
-0.00183,-0.01153,0.25065,1.037144422531128
-0.00055,-0.01153,0.24845,1.039785623550415
-0.00281,-0.01354,0.24638,1.0425083637237549
-0.00171,-0.01171,0.24845,1.0429449081420898
-0.01519,-0.01305,0.24955,1.0454764366149902
-0.00128,-0.01128,0.25181,1.0482735633850098
-0.00061,-0.01354,0.24858,1.0509095191955566
-0.00348,-0.01092,0.25144,1.0536694526672363
0.00073,-0.0133,0.24796,1.0540697574615479
-0.00195,-0.01342,0.24613,1.0565104484558105
-0.00146,-0.01214,0.24858,1.0592172145843506
-0.00201,-0.01202,0.24632,1.0620081424713135
-0.00018,-0.01116,0.24973,1.064704179763794
-0.00085,-0.0111,0.25376,1.0650453567504883
-0.0003,-0.01202,0.24876,1.0677154064178467
-0.00091,-0.01183,0.24711,1.0704028606414795
-0.00037,-0.01098,0.24583,1.0731191635131836
-0.00287,-0.01336,0.24931,1.075819730758667
-0.00024,-0.01318,0.25102,1.0759763717651367
-0.00134,-0.01037,0.24613,1.0786974430084229
-0.00165,-0.01202,0.24986,1.0815353393554688
-0.00165,-0.01287,0.24943,1.0842015743255615
-0.00165,-0.01153,0.23455,1.0871522426605225
-0.00122,-0.01342,0.2476,1.0898406505584717
-0.00207,-0.01183,0.24754,1.0901260375976562
-0.00128,-0.01147,0.24864,1.0926902294158936
-0.0014,-0.01183,0.24723,1.0956106185913086
-0.00152,-0.01068,0.24918,1.098299264907837
-0.00592,-0.01251,0.26443,1.1009855270385742
-0.00299,-0.00897,0.25748,1.101243019104004
-0.00085,-0.00982,0.26468,1.1039552688598633
-0.0086,-0.00128,0.26462,1.1067719459533691
-0.02904,0.01074,0.24101,1.1095340251922607
-0.0366,0.01379,0.23442,1.1125450134277344
-0.02245,-0.00451,0.24973,1.1129207611083984
0.01446,-0.03447,0.28463,1.1155476570129395
0.04203,-0.04727,0.31744,1.1183357238769531
0.05856,-0.04514,0.32391,1.1211178302764893
0.04551,-0.03233,0.31214,1.1239008903503418
0.02062,-0.02355,0.2928,1.1243584156036377
-0.01232,-0.01696,0.28243,1.1269378662109375
-0.00616,-0.01702,0.272,1.1297249794006348
-0.0047,-0.01214,0.27328,1.1323676109313965
-0.00335,-0.00506,0.24998,1.135378122329712
-0.00512,-0.00232,0.25223,1.135723352432251
-0.00708,-0.00104,0.23851,1.138592004776001
-0.00543,-0.00494,0.22698,1.141258716583252
-0.00805,-0.01037,0.22198,1.1438708305358887
-0.01147,-0.00817,0.21698,1.1466310024261475
-0.01269,-0.00537,0.21313,1.1469295024871826
-0.03087,-0.00134,0.21063,1.1497280597686768
-0.01641,0.00079,0.21136,1.1523687839508057
-0.0169,0.00018,0.20551,1.1551837921142578
-0.01159,-0.00012,0.20404,1.1581370830535889
-0.01031,-0.00177,0.20197,1.1585347652435303
-0.01013,-0.00232,0.20026,1.1611084938049316
-0.00964,-0.00293,0.20697,1.1638388633728027
-0.00476,-0.01549,0.21466,1.1664464473724365
-0.00232,-0.00012,0.21746,1.1692943572998047
-0.00152,-0.00238,0.2218,1.1719965934753418
-0.0014,-0.00756,0.22601,1.1723554134368896
-0.00116,-0.00622,0.22814,1.1749911308288574
-0.00573,-0.005,0.23638,1.1777851581573486
-0.00726,-0.00226,0.24077,1.1803648471832275
-0.00683,-0.0083,0.24553,1.1831028461456299
-0.00708,-0.00763,0.24626,1.183502197265625
-0.00641,-0.00799,0.24998,1.1862540245056152
-0.00476,-0.00775,0.25498,1.189258337020874
-0.00512,-0.00738,0.25528,1.1918747425079346
-0.00378,-0.00866,0.26151,1.1944684982299805
-0.00384,-0.00848,0.25547,1.1948256492614746
-0.00201,-0.01068,0.25773,1.1975088119506836
-0.00226,-0.00952,0.2601,1.2002885341644287
-0.005,-0.00817,0.25589,1.203054666519165
-0.00311,-0.00933,0.25675,1.2057030200958252
-0.00171,-0.00927,0.2562,1.2082867622375488
-0.00293,-0.00915,0.2501,1.2086730003356934
-0.0025,-0.00884,0.25431,1.211393117904663
-0.00201,-0.00915,0.25138,1.2141344547271729
-0.00073,-0.01025,0.25156,1.2169170379638672
6e-05,-0.00799,0.25364,1.219550609588623
-0.00043,-0.00592,0.254,1.2200522422790527
0.00134,-0.00665,0.25608,1.2228026390075684
0.00378,-0.00781,0.249,1.2253737449645996
0.0036,-0.0075,0.25144,1.2282671928405762
0.00262,-0.0097,0.25217,1.228609323501587
